Customer No.,Exposure at Default (in lakh Rs.),Recovery (%),Probability of Default,
2784,19.19,21.12%,0.0067,0.1014183824
2785,11.54,33.15%,0.003,0.02314347
2786,23.49,1.19%,0.0062,0.1439049078
2787,12.52,0.27%,0.0089,0.1111271444
2788,16.82,12.00%,0.0006,0.00888096
2789,22.26,9.01%,0.0006,0.0121526244
2790,21.35,12.67%,0.006,0.11186973
2791,18.89,28.62%,0.0023,0.0310124686
2792,5.06,22.31%,0.01,0.03931114
2793,8.64,19.87%,0.0025,0.01730808
2794,8.32,24.11%,0.0094,0.0593520512
2795,14.64,26.24%,0.0076,0.0820683264
2796,14.69,11.08%,0.0042,0.0548618616
2797,7.69,29.89%,0.0008,0.0043131672
2798,5.07,33.71%,0.0015,0.0050413545
2799,14.61,14.16%,0.0061,0.0765014664
2800,22.79,8.51%,0.0032,0.0667218272
2801,21.15,35.36%,0.0014,0.019139904
2802,23.66,35.17%,0.0011,0.0168726558
2803,3.78,23.58%,0.0071,0.0205095996
2804,12.55,29.19%,0.0052,0.046210606
2805,16.47,19.84%,0.007,0.092416464
2806,2.36,18.79%,0.0004,0.0007666224
2807,9.39,9.39%,0.0066,0.0561546414
2808,20.84,26.37%,0.0031,0.0475679252
2809,1.71,34.73%,0.0088,0.0098218296
2810,17.87,31.28%,0.0041,0.0503490824
2811,17.15,22.63%,0.0027,0.0358261785
2812,12.28,13.31%,0.0092,0.0979388944
2813,14.14,8.40%,0.0009,0.011657016
2814,0.82,12.46%,0.0088,0.0063168864
2815,1.61,6.63%,0.0073,0.0109737761
2816,11.73,29.85%,0.0098,0.080640231
2817,20.67,0.69%,0.0081,0.1662717537
2818,4.55,17.11%,0.0098,0.036960651
2819,14.8,2.25%,0.0028,0.0405076
2820,18.7,19.57%,0.0089,0.133859649
2821,0.98,9.54%,0.0023,0.0020389684
2822,21.09,8.24%,0.0026,0.0503156784
2823,10.39,23.90%,0.0095,0.075114505
2824,8.39,35.45%,0.0029,0.0157056605
2825,14.22,25.13%,0.004,0.042586056
2826,20.21,20.09%,0.0063,0.1017438093
2827,18.03,38.38%,0.0081,0.0899916966
2828,7.57,27.98%,0.0095,0.051793183
2829,0.2,38.84%,0.0079,0.000966328
2830,7.09,35.65%,0.006,0.02737449
2831,4.36,6.04%,0.0043,0.0176156208
2832,15.26,2.67%,0.0006,0.0089115348
2833,17.76,36.90%,0.0006,0.006723936
2834,0.44,21.00%,0.0094,0.00326744
2835,16.72,8.49%,0.0054,0.0826225488
2836,5.7,23.17%,0.001,0.00437931
2837,6,2.67%,0.0028,0.01635144
2838,10.86,15.27%,0.0053,0.0487688934
2839,17.2,2.43%,0.0077,0.129221708
2840,4.65,16.76%,0.004,0.01548264
2841,15.23,5.51%,0.0071,0.1021748717
2842,5.96,7.29%,0.006,0.033153096
2843,22.18,18.17%,0.0039,0.0707845866
2844,16.48,28.87%,0.0062,0.0726777888
2845,24.05,39.42%,0.004,0.05827796
2846,8.25,14.86%,0.0013,0.009131265
2847,24.28,10.36%,0.0009,0.0195881328
2848,12.99,18.56%,0.004,0.042316224
2849,8.65,36.77%,0.006,0.03281637
2850,2.03,22.72%,0.0001,0.0001568784
2851,4.94,26.35%,0.0017,0.006185127
2852,4.99,27.16%,0.0002,0.0007269432
2853,14.43,13.08%,0.0028,0.0351191568
2854,9.2,1.01%,0.0041,0.037339028
2855,19.79,34.49%,0.0031,0.0401897299
2856,17.68,25.82%,0.0014,0.0183610336
2857,15.58,14.04%,0.0005,0.006696284
2858,18.84,16.47%,0.0092,0.1447808784
2859,14.17,7.83%,0.0021,0.0274270269
2860,20.05,19.38%,0.003,0.04849293
2861,4.24,29.32%,0.0042,0.0125866944
2862,24.5,5.93%,0.004,0.0921886
2863,24.12,36.42%,0.0079,0.1211504184
2864,17.43,29.90%,0.0064,0.078197952
2865,16.95,10.37%,0.006,0.09115371
2866,17.98,10.40%,0.0088,0.141768704
2867,21.9,36.32%,0.0004,0.005578368
2868,24.27,15.29%,0.003,0.061677351
2869,24.15,12.00%,0.0009,0.0191268
2870,4.48,15.35%,0.0096,0.036406272
2871,15.46,37.58%,0.0095,0.091676254
2872,10.61,16.33%,0.0061,0.0541520607
2873,14.23,8.55%,0.0089,0.1158186815
2874,8.93,11.21%,0.0041,0.0325086827
2875,24.5,11.12%,0.009,0.1959804
2876,24.43,38.80%,0.0087,0.130075092
2877,10.35,11.96%,0.0009,0.008200926
2878,15.15,26.77%,0.0058,0.064347201
2879,11.95,32.60%,0.0091,0.07329413
2880,1.06,3.30%,0.0075,0.00768765
2881,21.37,35.48%,0.0008,0.0110303392
2882,19.02,18.24%,0.0002,0.0031101504
2883,22.75,34.23%,0.0054,0.080798445
2884,18.85,8.41%,0.0024,0.041435316
2885,22.5,39.07%,0.0046,0.06306255
2886,1.95,22.66%,0.003,0.00452439
2887,9.48,13.31%,0.0088,0.0723202656
2888,13.09,32.70%,0.0058,0.051095506
2889,2.41,31.06%,0.0068,0.0112978872
2890,17.82,34.20%,0.0053,0.062145468
2891,23.19,20.54%,0.0054,0.0995045796
2892,3.43,33.32%,0.0082,0.0187544168
2893,16.23,24.20%,0.0089,0.109490826
2894,19.93,30.22%,0.0098,0.1362901092
2895,10.88,30.77%,0.0065,0.048959456
2896,13.39,30.23%,0.0097,0.0906193691
2897,8.71,37.65%,0.0084,0.045617754
2898,2.82,16.51%,0.0035,0.008240463
2899,5.45,25.07%,0.0098,0.040020113
2900,11.72,35.62%,0.0017,0.0128270712
2901,16.09,7.54%,0.0099,0.1472804586
2902,15.33,17.02%,0.0087,0.1106712558
2903,11.77,2.31%,0.0059,0.0678388667
2904,19.92,34.26%,0.0049,0.0641674992
2905,10.62,30.58%,0.0007,0.0051606828
2906,14.46,6.23%,0.005,0.06779571
2907,3.39,13.68%,0.0032,0.0093639936
2908,2.68,9.71%,0.009,0.021777948
2909,4.3,34.39%,0.0093,0.026237439
2910,3.4,1.99%,0.0012,0.003998808
2911,12.89,19.13%,0.0048,0.0500358864
2912,20.85,15.04%,0.0039,0.069085224
2913,24.93,25.72%,0.0065,0.120367026
2914,18.9,5.98%,0.007,0.12438846
2915,20.06,6.37%,0.003,0.056346534
2916,22.63,1.46%,0.0052,0.1159579304
2917,9.62,22.97%,0.0068,0.0503899448
2918,16.66,0.06%,0.0087,0.1448550348
2919,19.35,16.78%,0.0035,0.056360745
2920,2.24,26.20%,0.0043,0.007108416
2921,24.26,29.49%,0.0044,0.0752651944
2922,6.61,38.17%,0.0082,0.0335130966
2923,12.28,28.47%,0.007,0.061487188
2924,3.29,21.29%,0.0063,0.0163142217
2925,2.71,21.72%,0.0078,0.0165468264
2926,24.41,15.59%,0.0006,0.0123626886
2927,13.74,24.05%,0.0037,0.038611461
2928,18.43,28.50%,0.0057,0.075111465
2929,0.36,21.41%,0.0062,0.0017541288
2930,22.77,3.77%,0.0034,0.0744993414
2931,17.24,17.71%,0.0016,0.0226988736
2932,18.21,16.78%,0.0047,0.0712255014
2933,4.66,5.32%,0.0064,0.0282373632
2934,0.22,16.94%,0.0081,0.0014801292
2935,0,32.84%,0.003,0
2936,11.03,11.17%,0,0
2937,11.83,33.93%,0.0002,0.0015632162
2938,3.39,15.27%,0.0049,0.0140745003
2939,3.88,22.07%,0.0018,0.0054426312
2940,23.69,38.92%,0.0071,0.1027359492
2941,4.99,7.47%,0.0091,0.0420169477
2942,14.94,15.56%,0.0052,0.0655997472
2943,8.85,32.19%,0.0058,0.034806873
2944,14.15,1.80%,0.0088,0.12227864
2945,11.7,21.88%,0.0066,0.060324264
2946,17.55,38.52%,0.0056,0.060422544
2947,5.21,10.85%,0.0067,0.0311195905
2948,20.86,23.86%,0.0001,0.0015882804
2949,14.89,22.55%,0.0037,0.0426695285
2950,2.31,25.35%,0.004,0.00689766
2951,14.6,32.55%,0.0023,0.02264971
2952,17.04,9.89%,0.008,0.122837952
2953,7.77,35.01%,0.0096,0.0484773408
2954,11.12,5.02%,0.0053,0.0559774128
2955,6.09,16.94%,0.008,0.040466832
2956,0.27,24.13%,0.0097,0.0019870353
2957,17.5,0.30%,0.0094,0.1640065
2958,5.44,31.80%,0.0047,0.017437376
2959,0.74,34.58%,0.0045,0.002178486
2960,0.78,11.13%,0.0051,0.0035352486
2961,4.28,39.02%,0.0093,0.0242724792
2962,2.02,34.81%,0.0084,0.0110614392
2963,23.01,25.74%,0.0025,0.042718065
2964,1.66,17.72%,0.0075,0.01024386
2965,21.19,31.97%,0.009,0.129740013
2966,15.36,29.87%,0.0074,0.0797125632
2967,22.77,8.20%,0.006,0.12541716
2968,18.14,4.77%,0.0072,0.1243779984
2969,23.01,37.61%,0.0082,0.1177186998
2970,0.83,21.94%,0.0063,0.0040817574
2971,0.81,4.09%,0.0055,0.0042727905
2972,15.4,20.44%,0.0053,0.064936872
2973,23.19,25.37%,0.0067,0.1159548699
2974,24.49,11.33%,0.0056,0.1216055848
2975,5.54,39.29%,0.0097,0.0326243398
2976,1.91,11.43%,0.0043,0.0072742541
2977,22.29,18.46%,0.0097,0.1763000802
2978,3.04,31.43%,0.0066,0.0137578848
2979,8.04,18.77%,0.0067,0.0437569764
2980,22.27,19.95%,0.0068,0.121224518
2981,13.61,30.61%,0.0062,0.0585526698
2982,15.06,37.02%,0.0065,0.061651122
2983,15.13,11.29%,0.0075,0.1006636725
2984,22.28,3.93%,0.0058,0.1241454968
2985,1.3,4.69%,0.0087,0.010779561
2986,9.47,5.86%,0.0049,0.0436837842
2987,14.21,6.23%,0.004,0.053298868
2988,13.66,1.04%,0.0038,0.0513681568
2989,8.3,8.17%,0.0062,0.047255718
2990,1.07,31.77%,0.0092,0.0067165612
2991,23.03,8.95%,0.0074,0.155169231
2992,16.43,37.77%,0.007,0.071570723
2993,19.37,32.48%,0.0051,0.0667009824
2994,4.92,26.72%,0.0059,0.0212717184
2995,16.47,10.14%,0.005,0.07399971
2996,10.87,21.57%,0.0043,0.0366589663
2997,23.35,28.43%,0.0096,0.160431312
2998,14.04,16.59%,0.0098,0.1147654872
2999,6.27,33.38%,0.0026,0.0108603924
3000,19.31,1.14%,0.0007,0.0133629062
3001,3.08,12.51%,0.0008,0.0021557536
3002,8.65,39.78%,0.0038,0.019794314
3003,17.17,38.74%,0.0025,0.026295855
3004,19.83,4.41%,0.0064,0.1213151808
3005,18.04,8.96%,0.005,0.08211808
3006,12.03,3.58%,0.0001,0.0011599326
3007,21.38,8.64%,0.0083,0.1621219744
3008,24.6,20.57%,0.0008,0.015631824
3009,8.02,26.95%,0.0033,0.019333413
3010,16.51,25.33%,0.0057,0.0702696969
3011,3.84,27.26%,0.0012,0.0033518592
3012,24.49,21.94%,0.0077,0.1472000838
3013,0.71,26.74%,0.0021,0.0010923066
3014,19.62,27.31%,0.0053,0.0755874234
3015,16.59,9.93%,0.0045,0.0672417585
3016,8.37,29.34%,0.0091,0.0538196022
3017,19.43,0.67%,0.0046,0.0887791674
3018,0.71,29.00%,0.0017,0.00085697
3019,2.11,32.00%,0.006,0.0086088
3020,2.32,18.85%,0.0041,0.007718988
3021,19.48,19.26%,0.0076,0.1195339552
3022,9.93,33.97%,0.0029,0.0190146591
3023,14.04,29.44%,0.0048,0.0475517952
3024,5.34,30.71%,0.0075,0.027750645
3025,1.67,17.48%,0.0057,0.0078550788
3026,11.38,35.09%,0.0028,0.0206829224
3027,15.54,8.12%,0.0004,0.0057112608
3028,2.38,3.80%,0.0006,0.001373736
3029,11.93,35.30%,0.0061,0.047084131
3030,13.05,36.43%,0.0056,0.046456956
3031,11.59,14.45%,0.0074,0.073372813
3032,5.69,12.55%,0.0015,0.0074638575
3033,5.32,8.45%,0.0014,0.006818644
3034,2.73,19.25%,0.0092,0.02028117
3035,14.27,15.29%,0.0014,0.0169233638
3036,11.4,26.30%,0.0056,0.04705008
3037,0.64,10.85%,0.0049,0.002795744
3038,20.51,27.63%,0.0041,0.0608566567
3039,11.98,24.87%,0.0071,0.0639040754
3040,21.96,18.32%,0.0036,0.0645729408
3041,13.24,23.30%,0.0001,0.001015508
3042,2.24,8.19%,0.0032,0.0065809408
3043,20.84,36.48%,0.0057,0.0754541376
3044,19.96,13.45%,0.0019,0.032823222
3045,10,27.40%,0.0027,0.019602
3046,18.7,16.86%,0.0049,0.076181182
3047,4.71,34.49%,0.0048,0.0148105008
3048,10.03,32.88%,0.0075,0.05049102
3049,8.56,37.98%,0.0077,0.0408786224
3050,6.07,24.65%,0.0003,0.0013721235
3051,20.95,38.30%,0.0054,0.06980121
3052,3.6,39.44%,0.0026,0.005668416
3053,1.65,11.07%,0.0018,0.002641221
3054,5.64,22.31%,0.008,0.035053728
3055,3.59,8.45%,0.0004,0.001314658
3056,0.64,6.37%,0.0095,0.005692704
3057,12.88,36.64%,0.007,0.057125376
3058,5.46,24.87%,0.001,0.004102098
3059,5.58,14.35%,0.004,0.01911708
3060,7.7,0.58%,0.0017,0.013014078
3061,20.91,28.53%,0.0046,0.0687441342
3062,7,12.34%,0.0072,0.04418064
3063,13.48,36.44%,0.0063,0.0539776944
3064,8.94,24.02%,0.0021,0.0142644852
3065,7.75,26.80%,0.0046,0.0260958
3066,22.35,19.09%,0.0076,0.137433726
3067,10.19,23.90%,0.007,0.05428213
3068,16.46,22.24%,0.0001,0.0012799296
3069,17.68,11.39%,0.0015,0.023499372
3070,7.95,14.31%,0.0071,0.0483677205
3071,13.07,38.14%,0.0029,0.0234467958
3072,15.46,24.08%,0.0029,0.0340379728
3073,18.86,12.54%,0.0047,0.0775262932
3074,2.52,0.72%,0.0043,0.0107579808
3075,6.69,7.53%,0.0051,0.0315498393
3076,2.63,35.83%,0.0011,0.0018564381
3077,15.29,2.90%,0.009,0.13361931
3078,12.48,22.26%,0.0024,0.0232846848
3079,20.44,20.36%,0.0012,0.0195340992
3080,13.46,21.31%,0.0069,0.0730825506
3081,22.38,5.09%,0.0039,0.0828393462
3082,17.46,28.99%,0.003,0.037195038
3083,11.52,23.24%,0.0018,0.0159169536
3084,22.93,26.72%,0.0065,0.109220176
3085,20.93,3.24%,0.0033,0.0668311644
3086,8.39,29.67%,0.0066,0.0389445342
3087,12.26,39.03%,0.0089,0.0665268058
3088,9.18,24.77%,0.0017,0.0117403938
3089,21.89,32.76%,0.009,0.132469524
3090,7.7,4.30%,0.01,0.073689
3091,23.86,24.57%,0.0078,0.1403812644
3092,10.28,27.33%,0.0056,0.0418346656
3093,23.82,22.07%,0.0041,0.0761079966
3094,13.73,16.32%,0.0017,0.0195317488
3095,8.32,37.27%,0.0092,0.0480160512
3096,16.19,15.42%,0.003,0.041080506
3097,11.59,2.26%,0.0034,0.0385154244
3098,21.72,26.63%,0.0078,0.1243005192
3099,14.99,21.41%,0.004,0.047122564
3100,10.92,14.78%,0.0007,0.0065142168
3101,10.37,15.05%,0.006,0.05285589
3102,18.64,6.26%,0.0042,0.0733871712
3103,0.54,3.87%,0.0044,0.0022840488
3104,12.28,38.34%,0.0009,0.0068146632
3105,10.39,6.69%,0.0036,0.0349016724
3106,19.29,19.17%,0.0016,0.0249473712
3107,14.06,14.12%,0.0047,0.0567512216
3108,8.54,17.26%,0.0076,0.0537015696
3109,7.84,14.10%,0.0049,0.032999344
3110,4.97,8.92%,0.0061,0.0276127236
3111,18.48,7.75%,0.0025,0.0426195
3112,23.24,7.23%,0.0018,0.0388075464
3113,14.97,30.26%,0.0078,0.0814326084
3114,0.69,39.43%,0.0093,0.0038867769
3115,20.59,5.17%,0.0073,0.1425361281
3116,20.61,3.39%,0.0014,0.0278758494
3117,8.01,37.57%,0.0072,0.0360046296
3118,18.32,35.79%,0.0079,0.0929298488
3119,10.01,39.73%,0.0083,0.0500741241
3120,0.1,14.79%,0.0036,0.000306756
3121,21.29,24.58%,0.0052,0.0834959736
3122,10.62,2.21%,0.003,0.031155894
3123,6.49,37.48%,0.0056,0.0227222688
3124,21.55,2.48%,0.0032,0.067249792
3125,15.18,8.46%,0.0091,0.1264515252
3126,20.65,8.24%,0.0079,0.149692676
3127,14.43,34.99%,0.0024,0.0225142632
3128,8.1,18.24%,0.0043,0.028477008
3129,10.62,26.15%,0.0007,0.005490009
3130,19.91,32.40%,0.0036,0.048452976
3131,10.16,22.81%,0.0093,0.0729352872
3132,14.36,25.97%,0.0068,0.0722888144
3133,15.54,0.78%,0.0046,0.0709264248
3134,20.21,4.58%,0,0
3135,0.44,30.41%,0.0098,0.0030007208
3136,12.89,7.39%,0.0003,0.0035812287
3137,6.26,7.76%,0.0051,0.0294485424
3138,22.65,9.65%,0.0093,0.1903177575
3139,17.49,31.13%,0.0019,0.0228861897
3140,1.7,37.35%,0.007,0.00745535
3141,20.71,11.89%,0.0031,0.0565675011
3142,10.2,0.19%,0.0051,0.051921162
3143,9.28,15.33%,0.0096,0.0754308096
3144,23.99,34.98%,0.0028,0.0436752344
3145,7.09,8.45%,0.0008,0.005192716
3146,8.92,32.07%,0.0011,0.0066652916
3147,9.25,17.73%,0.0066,0.050225835
3148,19.62,5.43%,0.0017,0.0315428778
3149,2.53,36.05%,0.004,0.00647174
3150,11.12,11.57%,0.004,0.039333664
3151,1.75,15.77%,0.0003,0.0004422075
3152,6.55,14.63%,0.0041,0.0229261135
3153,19.91,10.80%,0.0061,0.108334292
3154,9.33,31.02%,0.009,0.057922506
3155,21.11,9.53%,0,0
3156,4.71,38.40%,0.002,0.00580272
3157,16.68,22.23%,0.0047,0.0609685692
3158,15.97,7.13%,0.0095,0.1408977205
3159,13.73,7.05%,0.003,0.038286105
3160,14.44,27.38%,0.004,0.041945312
3161,9.67,26.04%,0.0009,0.0064367388
3162,9.25,26.87%,0.005,0.033822625
3163,12.86,31.22%,0.0029,0.0256508132
3164,11.79,20.44%,0.0091,0.0853591284
3165,9.16,34.84%,0.0022,0.0131310432
3166,10.63,29.80%,0.0094,0.070145244
3167,3.44,37.45%,0.0026,0.005594472
3168,14.16,4.38%,0.0015,0.020309688
3169,18.03,11.63%,0.0026,0.0414260886
3170,16.48,38.92%,0.0008,0.0080527872
3171,15.14,18.03%,0.0083,0.1030051414
3172,20.82,25.61%,0.0019,0.0294271962
3173,17.49,12.44%,0.0044,0.0673826736
3174,15.9,11.72%,0.0039,0.054742428
3175,16.44,37.32%,0.0081,0.0834671952
3176,10.31,9.05%,0.0089,0.0834548105
3177,10.07,39.39%,0.0085,0.0518791295
3178,23.18,4.97%,0.009,0.198251586
3179,10.96,23.09%,0.0012,0.0101152032
3180,2.57,9.18%,0.0094,0.0219402956
3181,3.25,9.44%,0.0036,0.01059552
3182,17.47,22.12%,0.0011,0.0149661996
3183,4.13,33.89%,0.0097,0.0264843271
3184,10.11,9.52%,0.0038,0.0347606064
3185,19.07,13.50%,0.0088,0.14516084
3186,21.46,24.29%,0.0091,0.1478510306
3187,22.02,8.94%,0.0055,0.110282766
3188,6.83,23.19%,0.0091,0.0477397193
3189,10.33,29.27%,0.0094,0.0686802446
3190,11.29,37.17%,0.002,0.014187014
3191,0.06,18.05%,0.0063,0.000309771
3192,11.68,36.54%,0.0089,0.0659679392
3193,21.96,25.52%,0.0072,0.1177618176
3194,6.25,39.04%,0.0028,0.010668
3195,11.99,13.30%,0.0055,0.057174315
3196,0.58,22.58%,0.001,0.000449036
3197,23.78,27.58%,0.0043,0.0740523468
3198,22.3,28.46%,0.0098,0.156343516
3199,22.14,38.71%,0.0021,0.0284961726
3200,5.65,34.42%,0.0029,0.010745283
3201,18.91,17.31%,0.0083,0.1297844357
3202,0.81,23.93%,0.0059,0.0036353853
3203,11.86,23.42%,0.0014,0.0127153432
3204,3.56,12.63%,0.0021,0.0065317812
3205,18.42,8.37%,0.0062,0.1046451252
3206,5.54,3.36%,0.0001,0.0005353856
3207,18.86,32.76%,0.0058,0.0735524912
3208,15.05,7.18%,0.0097,0.135503277
3209,11.79,13.84%,0.008,0.081266112
3210,9.07,5.09%,0.0009,0.0077475033
3211,1.04,11.16%,0.0078,0.0072067008
3212,3.58,19.26%,0.0005,0.001445246
3213,19.75,19.73%,0.0072,0.11414394
3214,2.51,37.53%,0.0057,0.0089375829
3215,17.83,5.17%,0.0034,0.0574878426
3216,6.2,25.17%,0.0005,0.00231973
3217,22.25,16.71%,0.007,0.129724175
3218,16.95,19.55%,0.0003,0.0040908825
3219,4.81,34.15%,0.0011,0.0034841235
3220,1.93,1.01%,0.0026,0.0049673182
3221,19.28,13.48%,0.0011,0.0183491616
3222,9.6,19.32%,0.0045,0.03485376
3223,0.87,5.79%,0.0089,0.0072946803
3224,2.14,29.38%,0.0037,0.0055916916
3225,2.43,25.13%,0.0067,0.0121895847
3226,23.35,13.95%,0.004,0.0803707
3227,24.3,23.04%,0.0081,0.151480368
3228,8.66,36.30%,0.0049,0.027030458
3229,9.55,38.29%,0.006,0.03535983
3230,18.03,25.71%,0.0004,0.0053577948
3231,18.23,28.27%,0.01,0.13076379
3232,13.14,4.18%,0.0028,0.0352540944
3233,6.95,13.48%,0.0031,0.018640734
3234,22.8,20.31%,0.0069,0.125368308
3235,17.34,2.80%,0.0048,0.080901504
3236,10.06,2.96%,0.0024,0.0234293376
3237,22.52,33.06%,0.0009,0.0135673992
3238,18.55,3.58%,0.0031,0.055446321
3239,8.19,14.21%,0.0016,0.0112419216
3240,8.95,28.59%,0.0094,0.060077233
3241,7.11,32.33%,0.003,0.014434011
3242,16.51,14.46%,0.0033,0.0466047582
3243,19.11,2.44%,0.0009,0.0167793444
3244,4.21,29.13%,0.0052,0.0155148604
3245,4.48,29.60%,0.0009,0.002838528
3246,1.36,7.43%,0.0013,0.0016366376
3247,13.69,30.58%,0.0092,0.0874331016
3248,16.68,9.07%,0.0082,0.1243704168
3249,22.1,33.06%,0.0092,0.136102408
3250,11.47,15.77%,0.0081,0.0782555661
3251,16.84,11.47%,0.0013,0.0193809876
3252,2.28,18.89%,0.0004,0.0007397232
3253,8.04,23.85%,0.0068,0.041632728
3254,23.85,16.28%,0.0007,0.013977054
3255,5.72,18.51%,0.0091,0.0424171748
3256,23.56,25.44%,0.0037,0.0649954432
3257,7.29,4.63%,0.004,0.027809892
3258,18.94,2.33%,0.0016,0.0295979168
3259,17.82,36.97%,0.0023,0.0258334758
3260,14.55,8.64%,0.0038,0.050512944
3261,23.03,3.08%,0.0017,0.0379451492
3262,14.91,8.25%,0.0091,0.1244873175
3263,24.08,2.14%,0.0083,0.1955869104
3264,15.53,29.91%,0.0095,0.1034072815
3265,17.79,16.94%,0.0022,0.0325080228
3266,7.9,2.50%,0.0009,0.00693225
3267,20.63,0.97%,0.0065,0.1327942785
3268,2.28,25.65%,0.0005,0.00084759
3269,19.95,8.78%,0.0044,0.080072916
3270,7.93,17.75%,0.0034,0.022176245
3271,4.52,18.27%,0.0056,0.0206874976
3272,23.4,38.21%,0.0027,0.039038922
3273,2.42,19.30%,0.0039,0.007616466
3274,14.59,28.31%,0.0007,0.0073216997
3275,5.08,27.20%,0.0095,0.03513328
3276,13.69,17.67%,0.0092,0.1036929884
3277,6.91,32.68%,0.0032,0.0148857984
3278,5.71,30.12%,0.0027,0.0107733996
3279,4.17,13.96%,0.0045,0.016145406
3280,1.93,8.48%,0.0047,0.0083017792
3281,6.47,39.02%,0.0072,0.0284069232
3282,15.13,9.48%,0.0048,0.0657392448
3283,8.74,7.07%,0.0025,0.020305205
3284,7.46,38.32%,0.0011,0.0050614608
3285,0.76,33.68%,0.0039,0.0019657248
3286,1.71,12.29%,0.0061,0.0091490301
3287,9.64,33.43%,0.0009,0.0057756132
3288,6.81,36.18%,0.0024,0.0104307408
3289,13.95,26.83%,0.0077,0.0785955555
3290,13.32,24.12%,0.0081,0.0818684496
3291,3.22,36.55%,0.0056,0.011441304
3292,4.63,7.64%,0.0064,0.0273681152
3293,15.84,27.53%,0.0058,0.0665796384
3294,19.32,33.20%,0.0001,0.001290576
3295,14.5,36.50%,0.0061,0.05616575
3296,18.76,15.18%,0.003,0.047736696
3297,22.23,2.68%,0.0041,0.0887003676
3298,2.82,14.67%,0.0093,0.0223786458
3299,5.42,27.59%,0.0006,0.0023547732
3300,21.62,17.55%,0.0037,0.065955053
3301,3.35,18.89%,0.0084,0.022824354
3302,2.67,20.52%,0.0067,0.0142181772
3303,19.65,3.58%,0.0052,0.098521956
3304,20.38,36.74%,0.0048,0.0618834624
3305,20.27,12.67%,0.0032,0.0566457312
3306,23.37,27.23%,0.0032,0.0544203168
3307,2.5,6.83%,0.0052,0.0121121
3308,8.76,22.67%,0.0018,0.0121933944
3309,6.95,22.44%,0.0071,0.038271982
3310,22.07,13.73%,0.0017,0.0323676413
3311,15.87,22.82%,0.0043,0.0526684038
3312,15.34,25.08%,0.007,0.080449096
3313,1.9,19.76%,0.0084,0.012806304
3314,24.4,38.25%,0.0093,0.1401231
3315,18.86,2.43%,0.0064,0.1177708928
3316,10.64,37.60%,0.0003,0.001991808
3317,16.42,38.75%,0,0
3318,15.38,34.28%,0.0013,0.0131400568
3319,0.51,11.83%,0.0031,0.0013939677
3320,22.11,31.46%,0.0014,0.0212158716
3321,18.44,27.58%,0.0065,0.086802612
3322,9.32,32.18%,0.0097,0.0613119928
3323,9.45,9.78%,0.0081,0.069058899
3324,3.73,37.05%,0.0078,0.018314673
3325,23.59,29.04%,0.0004,0.0066957856
3326,8.78,22.41%,0.0055,0.037468211
3327,3.74,11.57%,0.0075,0.024804615
3328,24.89,8.39%,0.0062,0.1413707198
3329,10.06,16.57%,0.0056,0.0470011248
3330,14.63,2.98%,0.0052,0.0738089352
3331,5.65,21.14%,0.0003,0.001336677
3332,0.34,19.45%,0.0072,0.001971864
3333,23.06,2.56%,0.0022,0.0494332608
3334,0.71,36.97%,0.009,0.004027617
3335,20.28,27.44%,0.0079,0.1162498272
3336,6.41,37.74%,0.0086,0.0343214476
3337,8.18,22.12%,0.0075,0.04777938
3338,8.79,13.90%,0.0032,0.024218208
3339,1.08,8.44%,0.002,0.001977696
3340,19.25,34.29%,0.006,0.07589505
3341,5.8,11.91%,0.0011,0.005620142
3342,6.32,16.72%,0.0076,0.0400010496
3343,18.75,2.26%,0.0044,0.0806355
3344,18.31,31.80%,0.0074,0.092406908
3345,0.17,2.13%,0.0065,0.0010814635
3346,7.96,4.90%,0.0096,0.072671616
3347,23.94,32.15%,0.0046,0.074719134
3348,0.31,9.04%,0.0068,0.0019174368
3349,12.23,5.79%,0.0031,0.0357178373
3350,14.3,34.37%,0.0084,0.078834756
3351,16,15.11%,0.0005,0.0067912
3352,7.29,15.54%,0.0037,0.0227813958
3353,23.93,30.97%,0.0034,0.0561641886
3354,10.18,4.65%,0.0033,0.032031879
3355,6.86,32.63%,0.0082,0.0378969724
3356,20.11,29.37%,0.0066,0.0937443738
3357,14.03,10.63%,0.0018,0.0225694998
3358,23.8,8.49%,0.0086,0.187302668
3359,7.17,37.48%,0.0079,0.0354132036
3360,19.27,39.46%,0.0093,0.1084943394
3361,22.94,4.87%,0.0091,0.1985876802
3362,0.55,16.20%,0.0007,0.00032263
3363,3.14,10.29%,0.0031,0.0087323714
3364,17.13,30.61%,0.0083,0.0986580081
3365,5.46,24.26%,0.002,0.008270808
3366,24.55,34.03%,0.0001,0.0016195635
3367,20.75,19.50%,0.0088,0.146993
3368,15.29,21.67%,0.0072,0.0862319304
3369,8.64,22.22%,0.0064,0.0430092288
3370,10.17,10.99%,0.008,0.072418536
3371,0.41,7.09%,0.0051,0.0019427481
3372,16.06,29.35%,0.0096,0.108925344
3373,5.3,20.02%,0.0056,0.023738064
3374,19.54,19.09%,0.0099,0.1565171586
3375,23.58,20.35%,0.0005,0.009390735
3376,0.07,26.61%,0.0077,0.0003955721
3377,21.05,7.07%,0.0091,0.1780120615
3378,18.94,38.12%,0.0057,0.0668044104
3379,3.84,38.84%,0.0074,0.0173792256
3380,9.91,20.28%,0.0039,0.0308109828
